TIME,ORIGIN,FROM,SEQUENCE,ASPATH,PREFIX,NEXT_HOP
03/07/16 00:00:04,IGP,80.249.208.200 AS12859,583376,12859 3257 8452 36992,217.55.224.0/21,80.249.208.200
03/07/16 00:00:04,IGP,80.249.208.200 AS12859,583377,12859 2914 6762 8452 36992,217.55.232.0/21,80.249.208.200
03/07/16 00:00:04,IGP,80.249.208.200 AS12859,583378,12859 2914 6453 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992,217.55.239.0/24,80.249.208.200
03/07/16 00:00:04,IGP,80.249.208.200 AS12859,583379,12859 2914 6762 8452 36992,217.55.240.0/20,80.249.208.200
03/07/16 00:00:04,INCOMPLETE,80.249.208.111 AS30132,583380,30132 1299 174 8452 36992,217.55.240.0/21,80.249.208.111
03/07/16 00:00:04,IGP,80.249.208.200 AS12859,583381,12859 2914 6762 8452 36992,217.55.248.0/21,80.249.208.200
03/07/16 00:00:04,IGP,2001:7f8:1::a501:5435:1 AS15435,602433,15435 6939 6453 36992,2001:42b8::/32,fe80::224:38ff:feaa:6e41
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626287,12859 2914 6453 36992,2c0f:fc88::/32,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626288,12859 2914 6453 36992,2c0f:fc88::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626289,12859 2914 6453 36992,2c0f:fc88:5::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626290,12859 2914 6453 36992,2c0f:fc88:6::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626291,12859 2914 6453 36992,2c0f:fc88:7::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626292,12859 2914 6453 36992,2c0f:fc88:8::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626293,12859 2914 6453 36992,2c0f:fc88:9::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626294,12859 2914 6453 36992,2c0f:fc88:a::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626295,12859 2914 6453 36992,2c0f:fc88:b::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626296,12859 2914 6453 36992,2c0f:fc88:c::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626297,12859 2914 6453 36992,2c0f:fc88:d::/48,fe80::f21c:2d01:f5c3:154c
03/07/16 00:00:05,IGP,2001:7f8:1::a500:1273:1 AS1273,626298,1273 6453 36992,2c0f:fc88:e::/48,fe80::fac0:1ff:fe24:ccd
03/07/16 00:00:05,IGP,2001:7f8:1::a500:1273:1 AS1273,626299,1273 6453 36992,2c0f:fc88:f::/48,fe80::fac0:1ff:fe24:ccd
03/07/16 00:00:05,IGP,2001:7f8:1::a500:1273:1 AS1273,626300,1273 6453 36992,2c0f:fc88:10::/48,fe80::fac0:1ff:fe24:ccd
03/07/16 00:00:05,IGP,2001:7f8:1::a500:1273:1 AS1273,626301,1273 6453 36992,2c0f:fc88:11::/48,fe80::fac0:1ff:fe24:ccd
03/07/16 00:00:05,IGP,2001:7f8:1::a500:1273:1 AS1273,626302,1273 6453 36992,2c0f:fc88:12::/48,fe80::fac0:1ff:fe24:ccd
03/07/16 00:00:05,IGP,2001:7f8:1::a501:5435:1 AS15435,626303,15435 6939 6453 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992,2c0f:fc88:13::/48,fe80::224:38ff:feaa:6e41
03/07/16 00:00:05,IGP,2001:7f8:1::a501:5435:1 AS15435,626304,15435 6939 6453 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992,2c0f:fc88:14::/48,fe80::224:38ff:feaa:6e41
03/07/16 00:00:05,IGP,2001:7f8:1::a501:5435:1 AS15435,626305,15435 6939 6453 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992,2c0f:fc88:15::/48,fe80::224:38ff:feaa:6e41
03/07/16 00:00:05,IGP,2001:7f8:1::a501:5435:1 AS15435,626306,15435 6939 6453 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992 36992,2c0f:fc88:16::/48,fe80::224:38ff:feaa:6e41
03/07/16 00:00:05,IGP,2001:7f8:1::a501:2859:2 AS12859,626307,12859 2914 174 8452 36992,2c0f:fc89::/32,fe80::f21c:2d01:f5c3:154c
